,List of KG students 
0,Кыргызская Республика
1,27
2,27.6
3,28.1
4,28.4
5,29.1
6,
7,Баткенская область
8,1.6
9,1.6
10,1.5
11,1
12,2.1
13,
14,Джалал-Абадская область
15,4.1
16,4.8
17,5
18,4.7
19,4.6
20,
21,Иссык-Кульская область
22,1.1
23,1.1
24,0.9
25,0.5
26,1
27,
28,Нарынская область
29,0.6
30,0.5
31,0.5
32,1.7
33,0.5
34,
35,Ошская область
36,0.5
37,0.6
38,0.6
39,0.6
40,0.6
41,
42,Таласская область
43,0.7
44,0.8
45,0.8
46,0.8
47,0.7
48,
49,Чуйская область
50,1.8
51,1.9
52,1.7
53,1.7
54,1.8
55,
56,г.Бишкек
57,9.2
58,8.9
59,8.8
60,9.5
61,9.8
62,
63,г.Ош
64,7.4
65,7.4
66,8.2
67,7.9
68,8
69,
